Stock,Best_Fit,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15
CL,AR,78.90016141368662,78.84878019469646,78.79766314433213,78.74680890441132,78.69621612373462,78.64588345804955,78.59580957001496,78.5459931291654,78.49643281187579,78.44712730132632,78.39807528746734,78.34927546698466,78.30072654326487,78.2524272263609,78.20437623295773
CLX,MA,150.66176181931448,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542,150.27455305234542
EL,MA,261.4695051104755,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754,200.7738466360754
GIS,ARIMA,63.05551972718158,62.96966889154609,62.91071437824317,62.91427751663078,62.93803600127875,62.95600939575895,62.969728003550834,62.96816182703544,62.96633602154624,62.96123404366669,62.959600238769795,62.95893035937757,62.959540758229096,62.960337998568846,62.96070458078771
KHC,MA,32.811869121522534,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405,33.545605356105405
KMB,AR,132.7625499350768,132.68224670805364,132.6024254217893,132.52308318391067,132.44421711940325,132.36582437050694,132.28790209661256,132.21044747415885,132.13345769653026,132.05692997395508,131.9808615334045,131.90524961849204,131.83009148937373,131.75538442264883,131.68112571126107
KO,ARIMA,55.70134066636883,55.760665300320774,55.711587696025624,55.77821721158586,55.718689625147974,55.759580657475894,55.731491554172706,55.7507866826999,55.737532361945604,55.74663709625251,55.74038281975384,55.7446790433671,55.74172785671281,55.743755102836964,55.74236253526015
MDLZ,AR,63.12486314795612,63.11089686430229,63.09696747587348,63.08307488520226,63.0692189950787,63.055399708549665,63.04161692891815,63.027870559742595,63.014160504836205,63.00048666826629,62.9868489543536,62.973247267671624,62.959681513045965,62.94615159555364,62.93265742052242
PEP,AR,164.72780877898882,164.73140014530088,164.7349867517375,164.73856860460725,164.74214571021034,164.74571807483866,164.74928570477573,164.75284860629674,164.75640678566856,164.7599602491498,164.76350900299073,164.76705305343333,164.77059240671136,164.77412706905025,164.77765704666723
STZ,ARIMA,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414,241.9838150024414
